ID_VENTA;ID_Minorista;Fecha_de_Factura;ID_REGION;ID_ESTADO;ID_CIUDAD;Producto;ID_FAMILIA;ID_GENERO;ID_CATEGORÍA;ID_CONTORNO;Tamaño;ID_COLOR ;Precio_por_Unidad;Unidades_Vendidas;Total_Ventas;Beneficio_Operativo;Margen_Operativo;ID _MVENTA
14;Amazon;24/01/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$34,00 ;68;$2.312 ;$1.087 ;47%;Online
15;Amazon;24/01/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$42,00 ;33;$1.386 ;$596 ;43%;Online
16;Amazon;24/01/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$33,00 ;59;$1.947 ;$779 ;40%;Online
17;Amazon;22/02/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$24,00 ;46;$1.104 ;$519 ;47%;Online
18;Amazon;22/02/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$28,00 ;14;$392 ;$196 ;50%;Online
19;Amazon;22/02/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$34,00 ;63;$2.142 ;$921 ;43%;Online
20;Amazon;20/03/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;125;$4.000 ;$2.120 ;53%;Online
21;Amazon;20/03/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$29,00 ;7;$203 ;$93 ;46%;Online
22;Amazon;21/04/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;31;$992 ;$466 ;47%;Online
23;Amazon;21/04/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$24,00 ;33;$792 ;$388 ;49%;Online
24;Amazon;20/05/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$36,00 ;38;$1.368 ;$657 ;48%;Online
25;Amazon;22/06/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$37,00 ;44;$1.628 ;$814 ;50%;Online
26;Amazon;20/07/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$42,00 ;72;$3.024 ;$1.452 ;48%;Online
27;Amazon;20/07/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$46,00 ;51;$2.346 ;$1.056 ;45%;Online
28;Amazon;21/08/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$48,00 ;135;$6.480 ;$3.434 ;53%;Online
29;Amazon;21/11/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$45,00 ;51;$2.295 ;$1.079 ;47%;Online
30;Amazon;17/01/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$49,00 ;59;$2.891 ;$1.214 ;42%;Online
31;Amazon;17/01/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$36,00 ;81;$2.916 ;$1.487 ;51%;Online
32;Amazon;15/02/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$39,00 ;144;$5.616 ;$2.808 ;50%;Online
33;Amazon;15/02/2021;Northeast;Maryland;Baltimore;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$27,00 ;69;$1.863 ;$950 ;51%;Online
34;Amazon;15/02/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$33,00 ;45;$1.485 ;$817 ;55%;Online
35;Amazon;13/03/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;31;$992 ;$526 ;53%;Online
36;Amazon;13/03/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$46,00 ;49;$2.254 ;$924 ;41%;Online
37;Amazon;13/03/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$39,00 ;72;$2.808 ;$1.404 ;50%;Online
38;Amazon;14/04/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$38,00 ;61;$2.318 ;$1.089 ;47%;Online
39;Amazon;14/04/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$27,00 ;59;$1.593 ;$876 ;55%;Online
40;Amazon;14/04/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;44;$1.408 ;$718 ;51%;Online
41;Amazon;14/04/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$47,00 ;45;$2.115 ;$952 ;45%;Online
42;Amazon;14/04/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$38,00 ;78;$2.964 ;$1.601 ;54%;Online
43;Amazon;13/05/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$41,00 ;81;$3.321 ;$1.727 ;52%;Online
44;Amazon;13/05/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$54,00 ;104;$5.616 ;$3.089 ;55%;Online
45;Amazon;15/06/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$41,00 ;75;$3.075 ;$1.691 ;55%;Online
46;Amazon;13/07/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$41,00 ;102;$4.182 ;$2.258 ;54%;Online
47;Amazon;13/07/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$55,00 ;145;$7.975 ;$3.988 ;50%;Online
48;Amazon;13/09/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$50,00 ;60;$3.000 ;$1.320 ;44%;Online
49;Amazon;14/11/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$53,00 ;85;$4.505 ;$2.072 ;46%;Online
50;Amazon;13/12/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$50,00 ;100;$5.000 ;$2.400 ;48%;Online
51;Amazon;10/01/2021;Northeast;Delaware;Wilmington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$33,00 ;77;$2.541 ;$1.194 ;47%;Online
52;Amazon;06/03/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$32,00 ;58;$1.856 ;$909 ;49%;Online
53;Amazon;07/04/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$33,00 ;68;$2.244 ;$1.212 ;54%;Online
54;Amazon;06/05/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$47,00 ;68;$3.196 ;$1.310 ;41%;Online
55;Amazon;08/06/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$44,00 ;105;$4.620 ;$2.125 ;46%;Online
56;Amazon;06/12/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$55,00 ;149;$8.195 ;$3.934 ;48%;Online
57;Amazon;06/12/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$49,00 ;105;$5.145 ;$2.470 ;48%;Online
58;Amazon;06/12/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$49,00 ;91;$4.459 ;$2.230 ;50%;Online
59;Amazon;06/12/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$55,00 ;83;$4.565 ;$2.054 ;45%;Online
60;Amazon;07/01/2021;Northeast;New Jersey;Newark;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$37,00 ;87;$3.219 ;$1.674 ;52%;Online
61;Amazon;04/04/2021;Northeast;Connecticut;Hartford;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$38,00 ;58;$2.204 ;$1.212 ;55%;Online
62;Amazon;03/05/2021;Northeast;Connecticut;Hartford;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$50,00 ;70;$3.500 ;$1.540 ;44%;Online
63;Amazon;08/06/2021;Northeast;Rhode Island;Providence;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$39,00 ;60;$2.340 ;$1.264 ;54%;Online
64;Amazon;08/06/2021;Northeast;Rhode Island;Providence;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$48,00 ;58;$2.784 ;$1.141 ;41%;Online
65;Amazon;08/06/2021;Northeast;Rhode Island;Providence;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$51,00 ;88;$4.488 ;$2.289 ;51%;Online
66;Amazon;06/07/2021;Northeast;Rhode Island;Providence;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$47,00 ;63;$2.961 ;$1.184 ;40%;Online
67;Amazon;07/08/2021;Northeast;Rhode Island;Providence;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$42,00 ;91;$3.822 ;$1.796 ;47%;Online
68;Amazon;14/04/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$37,00 ;45;$1.665 ;$733 ;44%;Online
69;Amazon;14/04/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$32,00 ;35;$1.120 ;$437 ;39%;Online
70;Amazon;14/04/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$39,00 ;83;$3.237 ;$1.424 ;44%;Online
71;Amazon;13/05/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$53,00 ;129;$6.837 ;$2.940 ;43%;Online
72;Amazon;13/05/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$47,00 ;54;$2.538 ;$1.091 ;43%;Online
73;Amazon;13/05/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$50,00 ;54;$2.700 ;$1.026 ;38%;Online
74;Amazon;15/06/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$47,00 ;94;$4.418 ;$1.856 ;42%;Online
75;Amazon;13/07/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$41,00 ;77;$3.157 ;$1.168 ;37%;Online
76;Amazon;13/09/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$57,00 ;63;$3.591 ;$1.616 ;45%;Online
77;Amazon;15/10/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$53,00 ;56;$2.968 ;$1.336 ;45%;Online
78;Amazon;15/10/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$54,00 ;27;$1.458 ;$554 ;38%;Online
79;Amazon;15/10/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$62,00 ;27;$1.674 ;$586 ;35%;Online
80;Amazon;15/10/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$66,00 ;65;$4.290 ;$1.888 ;44%;Online
81;Amazon;14/11/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$62,00 ;113;$7.006 ;$3.013 ;43%;Online
82;Amazon;14/11/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$52,00 ;90;$4.680 ;$2.059 ;44%;Online
83;Amazon;14/11/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$50,00 ;83;$4.150 ;$1.494 ;36%;Online
84;Amazon;14/11/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$51,00 ;80;$4.080 ;$1.591 ;39%;Online
85;Amazon;14/11/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$63,00 ;70;$4.410 ;$1.676 ;38%;Online
86;Amazon;13/12/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$64,00 ;150;$9.600 ;$3.936 ;41%;Online
87;Amazon;13/12/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$52,00 ;75;$3.900 ;$1.482 ;38%;Online
88;Amazon;13/12/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$65,00 ;112;$7.280 ;$3.203 ;44%;Online
89;Amazon;12/02/2021;Northeast;Massachusetts;Boston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$41,00 ;167;$6.847 ;$3.834 ;56%;Online
90;Amazon;12/02/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$54,00 ;63;$3.402 ;$1.701 ;50%;Online
91;Amazon;12/02/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$43,00 ;85;$3.655 ;$1.974 ;54%;Online
92;Amazon;10/03/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$42,00 ;70;$2.940 ;$1.676 ;57%;Online
93;Amazon;10/03/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$51,00 ;47;$2.397 ;$1.175 ;49%;Online
94;Amazon;11/04/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$43,00 ;56;$2.408 ;$1.397 ;58%;Online
95;Amazon;10/05/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$54,00 ;80;$4.320 ;$2.419 ;56%;Online
96;Amazon;12/06/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$62,00 ;117;$7.254 ;$3.772 ;52%;Online
97;Amazon;10/07/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$54,00 ;94;$5.076 ;$2.386 ;47%;Online
98;Amazon;11/08/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$53,00 ;106;$5.618 ;$3.315 ;59%;Online
99;Amazon;12/10/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$62,00 ;133;$8.246 ;$4.948 ;60%;Online
100;Amazon;11/11/2021;Northeast;Vermont;Burlington;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$64,00 ;126;$8.064 ;$4.838 ;60%;Online
101;Amazon;19/02/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$46,00 ;98;$4.508 ;$2.164 ;48%;Online
102;Amazon;17/03/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$49,00 ;69;$3.381 ;$1.724 ;51%;Online
103;Amazon;17/03/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$58,00 ;60;$3.480 ;$1.566 ;45%;Online
104;Amazon;18/04/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$48,00 ;154;$7.392 ;$3.918 ;53%;Online
105;Amazon;18/04/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$49,00 ;68;$3.332 ;$1.833 ;55%;Online
106;Amazon;18/04/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$38,00 ;73;$2.774 ;$1.221 ;44%;Online
107;Amazon;18/04/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$57,00 ;53;$3.021 ;$1.359 ;45%;Online
108;Amazon;18/04/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$46,00 ;98;$4.508 ;$2.074 ;46%;Online
109;Amazon;17/05/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$64,00 ;173;$11.072 ;$5.868 ;53%;Online
110;Amazon;17/05/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$51,00 ;98;$4.998 ;$2.099 ;42%;Online
111;Amazon;17/05/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$63,00 ;78;$4.914 ;$2.211 ;45%;Online
112;Amazon;19/06/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$59,00 ;169;$9.971 ;$5.285 ;53%;Online
113;Amazon;19/06/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$56,00 ;123;$6.888 ;$3.513 ;51%;Online
114;Amazon;19/06/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$60,00 ;94;$5.640 ;$2.425 ;43%;Online
115;Amazon;17/07/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$64,00 ;196;$12.544 ;$6.648 ;53%;Online
116;Amazon;17/07/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$53,00 ;85;$4.505 ;$1.982 ;44%;Online
117;Amazon;17/07/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$60,00 ;102;$6.120 ;$2.509 ;41%;Online
118;Amazon;18/08/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$60,00 ;196;$11.760 ;$5.998 ;51%;Online
119;Amazon;17/09/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$68,00 ;98;$6.664 ;$3.065 ;46%;Online
120;Amazon;18/11/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$78,00 ;116;$9.048 ;$4.253 ;47%;Online
121;Amazon;17/12/2021;Northeast;New Hampshire;Manchester;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$74,00 ;117;$8.658 ;$4.242 ;49%;Online
122;Amazon;28/01/2020;Northeast;New York;New York;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$31,00 ;240;$7.440 ;$2.976 ;40%;Outlet
123;Amazon;07/02/2020;Northeast;New York;New York;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$37,00 ;296;$10.952 ;$3.833 ;35%;Outlet
124;Amazon;10/02/2020;Northeast;New York;New York;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$47,00 ;280;$13.160 ;$4.606 ;35%;Outlet
125;Amazon;18/07/2020;Northeast;New York;New York;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$48,00 ;340;$16.320 ;$4.896 ;30%;Outlet
126;Sports Direct;23/07/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$26,00 ;176;$4.576 ;$1.556 ;34%;Outlet
127;Sports Direct;24/07/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$25,00 ;224;$5.600 ;$3.136 ;56%;Outlet
128;Sports Direct;03/09/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$35,00 ;228;$7.980 ;$2.713 ;34%;Outlet
129;Sports Direct;23/10/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$36,00 ;230;$8.280 ;$4.140 ;50%;Outlet
130;Sports Direct;24/10/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$30,00 ;195;$5.850 ;$1.872 ;32%;Outlet
131;Sports Direct;26/10/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$32,00 ;333;$10.656 ;$4.262 ;40%;Outlet
132;Sports Direct;27/10/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$34,00 ;333;$11.322 ;$4.755 ;42%;Outlet
133;Sports Direct;31/10/2020;South;Texas;Houston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$41,00 ;306;$12.546 ;$6.900 ;55%;Outlet
134;Foot Locker;10/11/2020;West;California;San Francisco;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Negro;$39,00 ;190;$7.410 ;$2.519 ;34%;Outlet
